DateID,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,MonthName,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
90,2013-09-06,2013,9,6,3,36,5,Friday,September,0,0,0,0,0,0,0
91,2013-09-07,2013,9,7,3,36,6,Saturday,September,1,0,0,0,0,0,0
92,2013-09-08,2013,9,8,3,36,7,Sunday,September,1,0,0,0,0,0,0
93,2013-09-09,2013,9,9,3,37,1,Monday,September,0,0,0,0,0,0,0
94,2013-09-10,2013,9,10,3,37,2,Tuesday,September,0,0,0,0,0,0,0
95,2013-09-11,2013,9,11,3,37,3,Wednesday,September,0,0,0,0,0,0,0
96,2013-09-12,2013,9,12,3,37,4,Thursday,September,0,0,0,0,0,0,0
97,2013-09-13,2013,9,13,3,37,5,Friday,September,0,0,0,0,0,0,0
98,2013-09-14,2013,9,14,3,37,6,Saturday,September,1,0,0,0,0,0,0
99,2013-09-15,2013,9,15,3,37,7,Sunday,September,1,0,0,0,0,0,0
100,2013-09-16,2013,9,16,3,38,1,Monday,September,0,0,0,0,0,0,0
101,2013-09-17,2013,9,17,3,38,2,Tuesday,September,0,0,0,0,0,0,0
102,2013-09-18,2013,9,18,3,38,3,Wednesday,September,0,0,0,0,0,0,0
103,2013-09-19,2013,9,19,3,38,4,Thursday,September,0,0,0,0,0,0,0
104,2013-09-20,2013,9,20,3,38,5,Friday,September,0,0,0,0,0,0,0
105,2013-09-21,2013,9,21,3,38,6,Saturday,September,1,0,0,0,0,0,0
106,2013-09-22,2013,9,22,3,38,7,Sunday,September,1,0,0,0,0,0,0
107,2013-09-23,2013,9,23,3,39,1,Monday,September,0,0,0,0,0,0,0
108,2013-09-24,2013,9,24,3,39,2,Tuesday,September,0,0,0,0,0,0,0
109,2013-09-25,2013,9,25,3,39,3,Wednesday,September,0,0,0,0,0,0,0
110,2013-09-26,2013,9,26,3,39,4,Thursday,September,0,0,0,0,0,0,0
111,2013-09-27,2013,9,27,3,39,5,Friday,September,0,0,0,0,0,0,0
112,2013-09-28,2013,9,28,3,39,6,Saturday,September,1,0,0,0,0,0,0
113,2013-09-29,2013,9,29,3,39,7,Sunday,September,1,0,0,0,0,0,0
114,2013-09-30,2013,9,30,3,40,1,Monday,September,0,0,1,0,1,0,0
115,2013-10-01,2013,10,1,4,40,2,Tuesday,October,0,1,0,1,0,0,0
116,2013-10-02,2013,10,2,4,40,3,Wednesday,October,0,0,0,0,0,0,0
117,2013-10-03,2013,10,3,4,40,4,Thursday,October,0,0,0,0,0,0,0
118,2013-10-04,2013,10,4,4,40,5,Friday,October,0,0,0,0,0,0,0
119,2013-10-05,2013,10,5,4,40,6,Saturday,October,1,0,0,0,0,0,0
120,2013-10-06,2013,10,6,4,40,7,Sunday,October,1,0,0,0,0,0,0
121,2013-10-07,2013,10,7,4,41,1,Monday,October,0,0,0,0,0,0,0
122,2013-10-08,2013,10,8,4,41,2,Tuesday,October,0,0,0,0,0,0,0
123,2013-10-09,2013,10,9,4,41,3,Wednesday,October,0,0,0,0,0,0,0
124,2013-10-10,2013,10,10,4,41,4,Thursday,October,0,0,0,0,0,0,0
125,2013-10-11,2013,10,11,4,41,5,Friday,October,0,0,0,0,0,0,0
126,2013-10-12,2013,10,12,4,41,6,Saturday,October,1,0,0,0,0,0,0
127,2013-10-13,2013,10,13,4,41,7,Sunday,October,1,0,0,0,0,0,0
128,2013-10-14,2013,10,14,4,42,1,Monday,October,0,0,0,0,0,0,0
129,2013-10-15,2013,10,15,4,42,2,Tuesday,October,0,0,0,0,0,0,0
130,2013-10-16,2013,10,16,4,42,3,Wednesday,October,0,0,0,0,0,0,0
131,2013-10-17,2013,10,17,4,42,4,Thursday,October,0,0,0,0,0,0,0
132,2013-10-18,2013,10,18,4,42,5,Friday,October,0,0,0,0,0,0,0
133,2013-10-19,2013,10,19,4,42,6,Saturday,October,1,0,0,0,0,0,0
134,2013-10-20,2013,10,20,4,42,7,Sunday,October,1,0,0,0,0,0,0
135,2013-10-21,2013,10,21,4,43,1,Monday,October,0,0,0,0,0,0,0
136,2013-10-22,2013,10,22,4,43,2,Tuesday,October,0,0,0,0,0,0,0
137,2013-10-23,2013,10,23,4,43,3,Wednesday,October,0,0,0,0,0,0,0
138,2013-10-24,2013,10,24,4,43,4,Thursday,October,0,0,0,0,0,0,0
139,2013-10-25,2013,10,25,4,43,5,Friday,October,0,0,0,0,0,0,0
140,2013-10-26,2013,10,26,4,43,6,Saturday,October,1,0,0,0,0,0,0
141,2013-10-27,2013,10,27,4,43,7,Sunday,October,1,0,0,0,0,0,0
